Offense Parent Group,Offense,Report DateTime,0
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2016,1425
ROBBERY,Robbery,2011,1420
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2015,1419
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2019,1407
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2017,1403
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2018,1393
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2017,1378
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2012,1377
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2018,1376
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2014,1371
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2016,1370
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2013,1370
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2013,1341
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2010,1302
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2022,1300
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2008,1280
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2012,1277
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2012,1274
FRAUD OFFENSES,Impersonation,2016,1244
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2009,1239
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2013,1233
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2011,1209
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2014,1199
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2019,1178
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2009,1174
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2015,1168
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2016,1167
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2010,1164
FRAUD OFFENSES,Impersonation,2017,1149
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2018,1122
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2013,1109
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2008,1066
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2014,1038
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2015,1026
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2017,1015
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2014,1013
BAD CHECKS,Bad Checks,2009,1002
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2020,996
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2021,992
