,,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MOTOR VEHICLE THEFT,FRAUD OFFENSES,ROBBERY,TRESPASS OF REAL PROPERTY,DRUG/NARCOTIC OFFENSES,"FAMILY OFFENSES, NONVIOLENT",DRIVING UNDER THE INFLUENCE,WEAPON LAW VIOLATIONS,SEX OFFENSES,BAD CHECKS,COUNTERFEITING/FORGERY,PROSTITUTION OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,LIQUOR LAW VIOLATIONS,CURFEW/LOITERING/VAGRANCY VIOLATIONS,ARSON,KIDNAPPING/ABDUCTION,PEEPING TOM,EXTORTION/BLACKMAIL,PORNOGRAPHY/OBSCENE MATERIAL,HOMICIDE OFFENSES,"SEX OFFENSES, CONSENSUAL",ANIMAL CRUELTY,HUMAN TRAFFICKING,DRUNKENNESS,GAMBLING OFFENSES,LARCENY-THEFT,BRIBERY
2,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2001,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
2,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,
2,2004,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,0.1,
2,2005,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,
2,2006,,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.2,,,,,0.09375,
2,2007,0.018518518518518517,,0.03125,0.06896551724137931,,,,,0.029411764705882353,,,0.02857142857142857,,0.045454545454545456,,1.0,0.020833333333333332,,,,,,,,,0.25,,,,,0.0036231884057971015,
2,2008,0.07208008898776418,0.06183368869936034,0.07892491467576791,0.10062402496099844,0.07694763729246488,0.05935251798561151,0.09211553473848556,,0.058898847631242,0.058161350844277676,0.06622516556291391,0.05029585798816568,0.09479305740987984,0.08235294117647059,0.05,0.04961832061068702,,0.058524173027989825,0.00980392156862745,0.047058823529411764,0.05555555555555555,0.15384615384615385,0.14814814814814814,0.10526315789473684,0.03333333333333333,0.125,,,,,,
