,,Burglary/Breaking & Entering,All Other Larceny,Destruction/Damage/Vandalism of Property,Motor Vehicle Theft,Simple Assault,Shoplifting,Aggravated Assault,Intimidation,Theft From Building,Theft of Motor Vehicle Parts or Accessories,Robbery,Trespass of Real Property,Impersonation,Credit Card/Automated Teller Machine Fraud,"Family Offenses, Nonviolent",Drug/Narcotic Violations,Driving Under the Influence,False Pretenses/Swindle/Confidence Game,Weapon Law Violations,Bad Checks,Counterfeiting/Forgery,Prostitution,Stolen Property Offenses,Pocket-picking,Fondling,Drug Equipment Violations,Wire Fraud,Embezzlement,Rape,Liquor Law Violations,Sodomy,Curfew/Loitering/Vagrancy Violations,Arson,Purse-snatching,Sexual Assault With An Object,Kidnapping/Abduction,Peeping Tom,Welfare Fraud,Extortion/Blackmail,Incest,Identity Theft,Assisting or Promoting Prostitution,Murder & Nonnegligent Manslaughter,Pornography/Obscene Material,Theft From Coin-Operated Machine or Device,Negligent Manslaughter,Justifiable Homicide,Betting/Wagering,Statutory Rape,Theft From Motor Vehicle,Hacking/Computer Invasion,Animal Cruelty,Purchasing Prostitution,Drunkenness,"Human Trafficking, Commercial Sex Acts",Bribery,Operating/Promoting/Assisting Gambling,Gambling Equipment Violation,"Human Trafficking, Involuntary Servitude"
1,2019,0.09969907104540102,0.0847457627118644,0.09303928325292901,0.06614883487847657,0.08832469157875916,0.08335175768295379,0.0775165319617928,0.07217573221757322,,0.09323843416370106,0.08681672025723473,0.11803781297904957,0.21846153846153846,0.09580838323353294,0.23322683706070288,0.10460526315789474,0.09019886363636363,0.12289915966386554,0.11809815950920245,0.16990291262135923,0.09216589861751152,0.1893939393939394,0.0784,0.06147540983606557,0.06639004149377593,0.21367521367521367,0.06734006734006734,0.10752688172043011,,0.07246376811594203,0.09333333333333334,0.15217391304347827,0.0990990990990991,0.04,,0.04065040650406504,0.13333333333333333,,0.09473684210526316,,0.045454545454545456,0.16666666666666666,0.09375,0.08,0.09090909090909091,,,,0.6,,0.017543859649122806,,,,,,,,
1,2020,,0.07259914782038676,0.0671372784620006,0.07567786321327398,0.10052576235541535,0.12981680353758687,0.07244744744744745,0.08168230795968022,0.13247863247863248,0.04349206349206349,0.09267965077233042,0.10746951219512195,0.1076923076923077,0.10432569974554708,0.06976744186046512,0.12433011789924973,0.13026052104208416,0.12762237762237763,0.08414239482200647,0.10526315789473684,0.0967741935483871,0.16666666666666666,0.08870967741935484,0.24,0.08333333333333333,0.11428571428571428,0.054474708171206226,0.08823529411764706,0.12849162011173185,0.13793103448275862,0.08695652173913043,,0.005847953216374269,0.07407407407407407,0.16279069767441862,0.1076923076923077,0.06666666666666667,0.1,0.08571428571428572,,,,0.125,0.05128205128205128,0.041666666666666664,,,,0.2,,0.12307692307692308,,0.23809523809523808,,0.375,,,,
1,2021,,0.08030133034140087,,0.07881403640457872,0.07409780055519966,0.07596859964547986,0.06206688761675203,,0.07189901207464325,0.07286740234717114,0.0764403879064461,0.08602739726027397,0.07207207207207207,0.1,0.04918032786885246,0.24719101123595505,0.0696969696969697,0.07936507936507936,0.08996539792387544,0.07407407407407407,0.08196721311475409,,0.10474631751227496,0.01282051282051282,0.056962025316455694,0.4864864864864865,,0.08333333333333333,0.10614525139664804,,0.1375,0.15384615384615385,,0.10344827586206896,0.09090909090909091,0.059782608695652176,,,0.0625,,0.12150668286755771,,0.0975609756097561,0.08823529411764706,0.07692307692307693,,,,,0.07328833172613308,,,,,0.125,,,,
1,2022,,,0.0869264787175235,,0.07883326763894363,0.0994679620633819,,0.07856625633598842,0.09246575342465753,,0.1080773606370876,0.09965803615046409,0.125,0.10241820768136557,0.06666666666666667,0.06144393241167435,0.07993850883935434,0.06724137931034482,0.06900726392251816,0.058823529411764705,0.12173913043478261,,,0.04854368932038835,0.07262569832402235,,0.08719346049046321,0.024390243902439025,0.07317073170731707,0.0625,,0.16666666666666666,0.13259668508287292,0.06666666666666667,0.13333333333333333,,0.125,,,,0.09054593874833555,,,0.022222222222222223,0.07692307692307693,,0.25,,0.2857142857142857,0.09264030469362608,0.08064516129032258,0.13513513513513514,0.14285714285714285,,0.16666666666666666,,1.0,,
1,2023,,0.7209705372616985,0.713527851458886,0.7018561484918794,0.7057761732851986,0.7197640117994101,0.6554878048780488,0.7376543209876543,0.7900552486187845,0.756993006993007,0.7166666666666667,0.67,0.75,0.7702702702702703,0.6,0.6352941176470588,0.6875,0.7419354838709677,0.6829268292682927,1.0,0.7352941176470589,,0.7204301075268817,0.5,0.7142857142857143,0.5,0.7307692307692307,1.0,0.7142857142857143,,0.5714285714285714,,0.6842105263157895,,0.5,0.6785714285714286,0.5,0.5,1.0,,0.7894736842105263,,0.7142857142857143,1.0,1.0,,,,,0.7529976019184652,0.5,0.6666666666666666,,,,,,,
2,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2001,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2003,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2004,,0.2,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2006,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,0.16666666666666666,,,,,,,,,
2,2007,,0.007518796992481203,0.03125,0.06896551724137931,,,,0.041666666666666664,,,,,,,0.029411764705882353,,,0.028169014084507043,,,0.045454545454545456,,1.0,,0.05,,,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,
